kab_kota,PDRB_harga_konstan
Cilacap,101839740.6
Banyumas,45396301.96
Purbalingga,19533863.81
Banjarnegara,17173451.62
Kebumen,22638895.33
Purworejo,15025908.55
Wonosobo,15405984.62
Magelang,26211563.24
Boyolali,26334296.33
Klaten,31938326.59
Sukoharjo,30661916.76
Wonogiri,23566879.01
Karanganyar,30208236.04
Sragen,30442192.81
Grobogan,22380303.89
Blora,19184918.86
Rembang,15463552.73
Pati,34984662.83
Kudus,72984396.76
Jepara,24451039.8
Demak,20839746.27
Semarang,39651856.25
Temanggung,16997526.82
Kendal,35286233.79
Batang,17629389.28
Pekalongan,18361079.36
Pemalang,20719581.53
Tegal,28023033.89
Brebes,36739154.44
Kota Magelang,7264923.66
Kota Surakarta,40620314.49
Kota Salatiga,10918688.78
Kota Semarang,161849112.4
Kota Pekalongan,8476545.73
Kota Tegal,12468605.88
