kab_kota,Jumlah_Murid_SMA
Cilacap,19356
Banyumas,21245
Purbalingga,11785
Banjarnegara,8272
Kebumen,13362
Purworejo,9309
Wonosobo,9855
Magelang,15768
Boyolali,15808
Klaten,17280
Sukoharjo,15402
Wonogiri,11403
Karanganyar,11382
Sragen,11445
Grobogan,18175
Blora,9573
Rembang,8871
Pati,14973
Kudus,10592
Jepara,13929
Demak,16371
Semarang,14036
Temanggung,7358
Kendal,14544
Batang,6675
Pekalongan,9423
Pemalang,13177
Tegal,11948
Brebes,20683
Kota Magelang,5744
Kota Surakarta,19452
Kota Salatiga,4672
Kota Semarang,30935
Kota Pekalongan,3950
Kota Tegal,6201
